merchant_id,merchant_name,category,risk_tier,region
1,merchant_0001,gaming,high,US-East
2,merchant_0002,grocery,high,US-East
3,merchant_0003,retail,low,US-East
4,merchant_0004,retail,medium,US-West
5,merchant_0005,travel,medium,APAC
6,merchant_0006,utilities,low,US-Central
7,merchant_0007,online,high,US-Central
8,merchant_0008,gaming,high,US-Central
9,merchant_0009,travel,medium,EU-West
10,merchant_0010,crypto,high,US-East
11,merchant_0011,travel,medium,EU-East
12,merchant_0012,online,low,US-Central
13,merchant_0013,grocery,high,EU-East
14,merchant_0014,utilities,high,US-Central
15,merchant_0015,retail,medium,US-Central
16,merchant_0016,retail,low,EU-West
17,merchant_0017,utilities,medium,US-East
18,merchant_0018,utilities,low,EU-West
19,merchant_0019,crypto,medium,US-Central
20,merchant_0020,travel,low,APAC
21,merchant_0021,retail,low,EU-West
22,merchant_0022,utilities,medium,US-West
23,merchant_0023,retail,low,EU-West
24,merchant_0024,online,low,US-Central
25,merchant_0025,grocery,high,US-East
26,merchant_0026,grocery,medium,US-East
27,merchant_0027,gaming,medium,APAC
28,merchant_0028,restaurant,low,US-West
29,merchant_0029,restaurant,low,EU-West
30,merchant_0030,utilities,medium,EU-East
31,merchant_0031,utilities,medium,US-Central
32,merchant_0032,retail,medium,APAC
33,merchant_0033,grocery,medium,EU-West
34,merchant_0034,utilities,low,EU-East
35,merchant_0035,retail,low,US-Central
36,merchant_0036,restaurant,medium,US-East
37,merchant_0037,crypto,medium,EU-East
38,merchant_0038,grocery,low,EU-East
39,merchant_0039,gaming,high,EU-East
40,merchant_0040,travel,low,US-West
41,merchant_0041,crypto,medium,EU-East
42,merchant_0042,online,medium,US-West
43,merchant_0043,online,low,US-Central
44,merchant_0044,crypto,medium,EU-East
45,merchant_0045,online,low,US-Central
46,merchant_0046,crypto,low,EU-East
47,merchant_0047,retail,high,US-West
48,merchant_0048,restaurant,medium,EU-West
49,merchant_0049,restaurant,low,US-East
50,merchant_0050,online,high,US-Central
51,merchant_0051,utilities,medium,EU-West
52,merchant_0052,utilities,low,US-Central
53,merchant_0053,online,low,APAC
54,merchant_0054,crypto,high,EU-West
55,merchant_0055,crypto,medium,US-West
56,merchant_0056,restaurant,low,US-East
57,merchant_0057,crypto,high,US-East
58,merchant_0058,restaurant,medium,US-West
59,merchant_0059,crypto,high,US-East
60,merchant_0060,grocery,low,US-West
61,merchant_0061,travel,medium,US-Central
62,merchant_0062,online,low,EU-West
63,merchant_0063,retail,low,US-East
64,merchant_0064,online,low,EU-West
65,merchant_0065,gaming,high,APAC
66,merchant_0066,retail,medium,US-West
67,merchant_0067,retail,medium,APAC
68,merchant_0068,restaurant,low,EU-West
69,merchant_0069,retail,low,EU-West
70,merchant_0070,restaurant,medium,US-West
71,merchant_0071,restaurant,low,EU-East
