link_id,src_account_id,dst_account_id,amount,transfer_timestamp
1,754,21057,70.61,2024-01-02 15:26:00
2,3769,21198,1890.23,2024-02-17 21:33:00
3,14818,23441,11.63,2024-01-29 15:26:00
4,15304,13150,95.12,2024-01-30 15:42:00
5,4879,20077,428.0,2024-01-05 20:03:00
6,5998,12088,19.15,2024-01-07 23:27:00
7,5264,1441,184.11,2024-01-02 17:52:00
8,18753,8092,56.43,2024-02-19 12:20:00
9,23082,22973,78.59,2024-03-14 04:39:00
10,2304,15892,99.32,2024-01-12 02:27:00
11,4735,4983,34.48,2024-03-28 05:18:00
12,16663,1660,756.42,2024-01-10 06:23:00
13,23775,15741,4037.87,2024-01-27 16:22:00
14,22969,19745,34.71,2024-01-18 15:46:00
15,14748,23557,1164.23,2024-03-16 08:56:00
16,20890,10495,276.46,2024-02-19 22:01:00
17,7855,17133,108.15,2024-02-23 12:46:00
18,13145,20242,141.13,2024-03-11 04:26:00
19,7201,22530,251.43,2024-02-06 05:27:00
20,13449,7208,779.92,2024-03-14 23:58:00
21,6540,10491,110.49,2024-01-16 09:47:00
22,22249,74,623.22,2024-01-01 12:00:00
23,13320,17970,677.12,2024-02-08 21:43:00
24,10917,19996,1808.61,2024-03-28 21:55:00
25,3063,5842,47.0,2024-03-27 22:51:00
26,22006,13777,77.1,2024-02-20 21:42:00
27,88,1586,496.29,2024-03-16 05:01:00
28,7252,10989,21.0,2024-03-27 08:15:00
29,7321,22679,180.5,2024-02-22 16:06:00
30,23648,1565,44.76,2024-01-26 16:48:00
31,13894,12356,914.67,2024-01-01 19:21:00
32,6858,19133,180.79,2024-03-28 06:48:00
33,16472,15217,190.86,2024-01-19 23:23:00
34,24371,15278,225.0,2024-02-27 19:29:00
35,13989,13988,16.12,2024-02-19 21:22:00
36,8332,13442,7.33,2024-02-23 12:48:00
37,1124,16506,278.04,2024-02-20 22:46:00
38,13163,708,59.52,2024-03-06 20:55:00
39,431,21912,1097.78,2024-03-16 10:58:00
40,21106,9282,1568.46,2024-03-21 06:06:00
41,5737,234,37.54,2024-03-01 14:48:00
42,15698,12764,521.58,2024-01-29 18:06:00
43,22481,1543,47.53,2024-02-09 19:54:00
44,13584,20719,275.19,2024-01-27 13:01:00
45,12471,3714,963.97,2024-02-25 05:26:00
46,15562,3693,773.84,2024-02-24 08:33:00
47,3877,7712,15.5,2024-02-11 10:38:00
48,3402,5017,16.78,2024-02-13 07:16:00
49,17987,23855,162.09,2024-01-04 12:33:00
50,23938,13348,98.41,2024-03-30 08:59:00
51,8581,3318,128.85,2024-03-14 10:38:00
52,13914,9331,43.4,2024-03-05 19:49:00
53,6121,3408,145.99,2024-01-08 22:57:00
54,19836,15703,18.5,2024-02-11 12:31:00
55,15413,2126,261.59,2024-01-23 01:38:00
56,13125,3888,159.56,2024-01-06 02:11:00
57,24754,13914,161.61,2024-01-08 08:10:00
58,18498,23386,381.25,2024-02-03 05:01:00
59,23904,12835,295.65,2024-01-03 01:45:00
60,10574,5597,78.85,2024-02-23 11:33:00
61,15463,18562,26.52,2024-01-24 09:09:00
62,15940,18728,44.79,2024-01-25 06:54:00
63,3563,17764,1172.52,2024-01-16 10:34:00
64,23019,14285,13.5,2024-02-19 10:28:00
65,18066,2199,36.98,2024-02-01 22:42:00
66,9963,6369,1771.06,2024-02-14 12:58:00
67,16457,14750,777.76,2024-01-12 12:36:00
68,16078,20014,424.92,2024-02-17 03:06:00
69,1007,21366,78.33,2024-01-21 20:53:00
70,23522,10237,11.47,2024-03-06 03:15:00
71,11872,15422,53.0,2024-02-06 09:41:00
72,14297,8947,72.75,2024-02-05 07:17:00
73,809,11147,85.6,2024-02-02 03:31:00
74,2482,12794,6.97,2024-02-13 17:07:00
75,6442,20661,64.24,2024-01-16 06:31:00
76,4905,11495,958.95,2024-01-23 02:13:00
77,18229,1752,148.73,2024-03-28 12:22:00
78,15841,23618,499.24,2024-02-21 07:05:00
79,22396,14680,642.44,2024-03-19 01:29:00
80,18880,23789,212.45,2024-03-02 00:04:00
81,12473,7724,2137.49,2024-01-03 16:45:00
82,16450,19465,153.24,2024-01-10 13:39:00
83,2271,23733,389.59,2024-02-28 04:26:00
84,6858,2932,535.14,2024-02-29 05:36:00
85,13085,2551,46.09,2024-02-28 07:54:00
86,5983,1254,3.15,2024-03-25 23:00:00
87,10335,7403,731.93,2024-01-15 12:19:00
88,23213,21807,91.94,2024-01-29 06:09:00
89,16409,23091,60.31,2024-03-13 08:31:00
90,10331,20547,325.09,2024-02-23 02:56:00
91,24444,18202,42.15,2024-03-14 12:50:00
92,10688,14824,27.38,2024-03-10 05:33:00
93,11056,8786,3183.17,2024-02-01 04:33:00
94,4568,15613,10.15,2024-02-12 22:29:00
95,8695,8338,90.76,2024-02-19 13:38:00
96,23406,5064,334.22,2024-03-17 23:02:00
97,12507,3488,146.31,2024-01-08 14:16:00
98,1488,1943,55.46,2024-01-20 16:43:00
99,11285,14569,47.42,2024-01-24 17:57:00
100,18874,8912,131.57,2024-03-19 09:31:00
101,16716,8331,47.88,2024-01-01 15:58:00
102,12993,4990,36.5,2024-02-14 09:15:00
103,16998,10192,56.48,2024-03-09 13:31:00
104,8856,23084,79.66,2024-02-25 15:31:00
105,5524,213,21.99,2024-01-31 17:42:00
106,5211,9704,959.6,2024-02-20 14:51:00
107,8553,3284,817.73,2024-03-13 11:32:00
108,24468,22166,4.53,2024-02-10 10:44:00
109,7280,15178,76.25,2024-02-04 08:00:00
110,8887,19319,30.57,2024-03-12 23:21:00
111,21873,18874,70.52,2024-02-14 15:48:00
112,6162,15715,251.25,2024-03-25 16:41:00
113,15640,2612,12.43,2024-02-11 06:55:00
114,19650,1415,783.76,2024-03-25 22:02:00
115,20467,15134,678.11,2024-02-03 03:19:00
116,14422,13515,70.92,2024-03-08 00:33:00
117,2807,9471,142.97,2024-02-09 12:06:00
118,22509,5692,114.84,2024-03-08 14:42:00
119,18038,21488,68.55,2024-03-19 20:27:00
120,22884,20650,119.21,2024-03-09 19:21:00
121,3442,9695,20.78,2024-02-04 10:00:00
122,14976,16182,62.2,2024-03-04 15:02:00
123,4409,2007,624.14,2024-03-17 03:55:00
124,5489,11494,156.22,2024-01-17 07:37:00
125,24397,18514,296.36,2024-01-12 17:03:00
126,22988,19970,37.64,2024-03-03 16:03:00
127,20817,21578,41.42,2024-02-06 03:27:00
128,1557,1484,56.29,2024-02-24 01:27:00
129,4368,4409,62.57,2024-02-18 12:42:00
130,15178,9931,461.59,2024-03-10 14:47:00
131,4693,19413,146.76,2024-02-03 18:52:00
132,22407,6593,144.45,2024-01-29 09:41:00
133,15019,10050,57.31,2024-03-28 22:16:00
134,23806,16692,68.48,2024-03-10 06:33:00
135,7123,2842,5749.02,2024-02-17 12:52:00
